,set,caloNum,energyLim,fitLim,c,m,c_err,m_err,redchi
126,1C,7,2100-2300,30-200,2.8218410413178447,-0.0006618465001150108,0.01822314492197024,0.00019929980608907814,1.20817787758519
127,1C,8,2100-2300,30-200,1.961545886779997,-0.0005178658379097233,0.015694731965719598,0.00017174053883358306,0.8530235798055811
128,1C,9,2100-2300,30-200,0.21010769908511845,-0.00035386838810533527,0.017573695189629656,0.0001923206470038641,0.9681476099490134
129,1C,10,2100-2300,30-200,1.110766524148711,-0.0007301017298914272,0.017200731729643627,0.000188250391190586,1.0790146919565806
130,1C,11,2100-2300,30-200,0.23034864459603616,-0.0006359635915775557,0.015305812122498085,0.00016744200404830473,1.0122042651061016
131,1C,12,2100-2300,30-200,-0.8303144480366176,-0.0006030266568476273,0.015282447731287743,0.00016724099473435373,1.0202037515352547
132,1C,13,2100-2300,30-200,0.9941618620279287,-0.0003346657921733965,0.013687684104496336,0.00014972354358350995,0.9915932465603843
133,1C,14,2100-2300,30-200,0.9600280787003561,-0.0006755608442557987,0.014799504170058549,0.00016189505557711461,0.8565083516634412
134,1C,15,2100-2300,30-200,1.3915135159404546,-0.0007180630187364411,0.015912541784189327,0.00017408794155439274,0.9746390828482128
135,1C,16,2100-2300,30-200,-0.13005407749507147,-0.0014939660218714454,0.01651601707056648,0.00018068661918614116,0.940653008525117
136,1C,17,2100-2300,30-200,0.863715485167466,-0.0004324782283402165,0.016854960805501397,0.00018440418778407108,1.0821850879842552
137,1C,18,2100-2300,30-200,0.8442945447514855,-0.0007152853196148778,0.01351720106879409,0.00014790037560120069,0.8130837528323329
138,1C,19,2100-2300,30-200,-0.4600404713110475,-0.0002886003644041881,0.013694162063255256,0.00014981403977502142,0.990396944098316
139,1C,20,2100-2300,30-200,0.6765343051578729,-0.0007733099338381396,0.016296681521952298,0.00017827054701225218,1.0060935918493712
140,1C,21,2100-2300,30-200,1.8629601116879075,-0.00040755332924679607,0.017898059144187444,0.0001957983710743119,1.0633607885525675
